temperature_K,composition,pressure,mean_fraction,sem,n_frames
1500.0,Fe120B280,0 GPa,0.07785714,0.00415133,10
1500.0,Fe120B280,10 GPa,0.09821429,0.00346058,10
1500.0,Fe135B405,0 GPa,0.12271605,0.00527070,10
1500.0,Fe135B405,10 GPa,0.18790123,0.00676151,10
1500.0,Fe72B288,0 GPa,0.35555556,0.00839739,10
1500.0,Fe72B288,10 GPa,0.25625000,0.00873517,10
1500.0,Fe81B459,0 GPa,0.46993464,0.00479578,10
1500.0,Fe81B459,10 GPa,0.38474946,0.00550393,10
1500.0,Fe54B486,0 GPa,0.60596708,0.00538529,10
1500.0,Fe54B486,10 GPa,0.50967078,0.00484062,10
